,ТР,Т воздуха на вх. в ГТУ (фильтр.),Р воздуха за КГГ (фильтр.),Т за СТ (т.1),Т за СТ (т.2),Т за СТ (т.3),Т за СТ (т.4),Т за СТ (т.5),Т за СТ (т.6),Т за СТ (т.7),Т за СТ (т.8),Т за СТ (т.9),Т за СТ (т.10),Т за СТ (т.11),Т за СТ (т.12),Т за ГГ (т.1),Т за ГГ (т.2),Т за ГГ на запуске (т.1),Т за ГГ на запуске (т.2),Т в. на входе К ГГ,Т ТГ перед ДГ,Т м. на сливе ШП,Т м. на сливе РП,Т м. на входе Д,Т м. на выходе из СТ,Р м. на входе ,Р суфлирования,Р ТГ перед ДГ,Т в ЩА,Вибр.Д в зоне ПП,Вибр. Д в зоне ЗП,Положение ДГ,Осевая сила (расч.),Обороты КВД 1,Обороты СТ 1,Обороты КВД 2,Обороты СТ 2,Положение ВНА,Т газа за ГГ (ср.),Т газа за СТ (ср.),Т газа за СТ (ср.).1,Anomaly_Class
10,02:39:30.230,"14,49142","0,1016846","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60156","18,81994","18,31129","19,0234","19,32859","14,40098","19,35366","20,85675","20,82129","21,03207","20,42023","133,3264","2,298629","-1,359535","18,7931","0,07164663","-0,00531657","0,4507455","0,9805138",0,0,0,0,"-45,09893","18,81995","17,48647",,1
11,02:39:30.250,"14,49142","0,1016919","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60078","18,81994","18,31129","19,0234","19,32859","14,40095","19,35253","20,84607","20,83233","21,03576","20,41832","133,3299","2,29874","-1,359535","18,7931","0,07135662","-0,004203212","0,4468929","0,9804899",0,0,0,0,"-45,0989","18,81995","17,48579",,1
12,02:39:30.270,"14,49142","0,1016956","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60039","18,81994","18,31129","19,0234","19,32859","14,40094","19,35197","20,84073","20,83785","21,02833","20,41737","133,3316","2,298795","-1,359535","18,7931","0,07430147","-0,003646532","0,4507455","0,9804552",0,0,0,0,"-45,10046","18,81995","17,48527",,1
13,02:39:30.290,"14,49142","0,101707","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6002","18,81994","18,31129","19,0234","19,32859","14,40093","19,35168","20,83806","20,84061","21,02462","20,41689","133,3325","2,298823","-1,359535","18,7931","0,07577389","-0,003368192","0,4507455","0,98038",0,0,0,0,"-45,10123","18,81995","17,48487",,1
14,02:39:30.309,"14,49142","0,1017224","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6001","18,81994","18,31129","19,0234","19,32859","14,40092","19,35386","20,83209","20,82809","21,02276","20,43053","133,3236","2,300382","-1,483129","18,7931","0,07342026","-0,003229022","0,454598","0,9802669",0,0,0,0,"-45,10162","18,81995","17,48456",,1
15,02:39:30.329,"14,49142","0,1017301","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60005","18,81994","18,31129","19,0234","19,32859","14,40092","19,35495","20,82447","20,82647","21,01719","20,43735","133,3099","2,298071","-1,235941","18,7931","0,07224344","-0,001614511","0,454598","0,9801726",0,0,0,0,"-45,10182","18,81995","17,48433",,1
16,02:39:30.349,"14,49142","0,101734","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60003","18,81994","18,31129","19,0234","19,32859","14,40092","19,35317","20,82066","20,82565","21,01905","20,42688","133,3031","2,296916","-1,235941","18,7931","0,0701101","-0,005442035","0,4468929","0,9801067",0,0,0,0,"-45,10192","18,81995","17,48416",,1
17,02:39:30.369,"14,49142","0,1017359","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60001","18,81994","18,31129","19,0234","19,32859","14,36636","19,35229","20,81875","20,81598","21,01997","20,42627","133,3182","2,297883","-1,235941","18,7931","0,07058836","-0,007355797","0,4468929","0,9801098",0,0,0,0,"-45,10197","18,81995","17,48403",,1
18,02:39:30.389,"14,49142","0,1017369","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,60001","18,81994","18,31129","19,0234","19,32859","14,34908","19,35184","20,81779","20,81114","21,02044","20,42597","133,3165","2,298367","-1,235941","18,7931","0,07082748","-0,005222825","0,4468929","0,9801295",0,0,0,0,"-45,10199","18,81995","17,48393",,1
19,02:39:30.409,"14,49142","0,101747","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,34044","19,35394","20,81732","20,80872","21,02995","20,42582","133,3156","2,300154","-1,235941","18,7931","0,07249197","-0,004156339","0,4430404","0,9800563",0,0,0,0,"-45,10201","18,81995","17,48386",,1
20,02:39:30.429,"14,49142","0,1017521","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33612","19,35499","20,81244","20,81215","21,0347","20,43037","133,3245","2,299502","-1,359535","18,7931","0,07332422","-0,003623096","0,4430404","0,9799326",0,0,0,0,"-45,10579","18,81995","17,48381",,1
21,02:39:30.449,"14,49142","0,1017546","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33396","19,35551","20,81001","20,81386","21,03708","20,43264","133,3289","2,299176","-1,359535","18,7931","0,07374035","-0,003356474","0,4430404","0,9798272",0,0,0,0,"-45,10768","18,81995","17,48376",,1
22,02:39:30.469,"14,49142","0,1017559","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33288","19,35346","20,79951","20,81471","21,02899","20,43378","133,3311","2,300558","-1,483129","18,7931","0,07240348","-0,003223164","0,4507455","0,9797528",0,0,0,0,"-45,10863","18,81995","17,48373",,1
23,02:39:30.489,"14,49142","0,1017565","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33234","19,35243","20,79427","20,81514","21,02494","20,43435","133,3322","2,30125","-1,483129","18,7931","0,07173505","-0,003156508","0,4507455","0,9797047",0,0,0,0,"-45,1091","18,81995","17,48371",,1
24,02:39:30.509,"14,49142","0,1017665","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33207","19,35655","20,787","20,81072","21,02292","20,43926","133,3235","2,301595","-1,359535","18,7931","0,07140084","-0,00312318","0,4584505","0,9796287",0,0,0,0,"-45,10934","18,81995","17,48369",,1
25,02:39:30.529,"14,49142","0,1017715","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33193","19,35861","20,78337","20,80851","21,02191","20,44172","133,3099","2,301768","-1,235941","18,7931","0,07123373","-0,004651443","0,454598","0,9795648",0,0,0,0,"-45,10946","18,81995","17,48368",,1
26,02:39:30.549,"14,49142","0,101774","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33187","19,35501","20,78156","20,80741","21,03532","20,43832","133,3031","2,300309","-1,235941","18,7931","0,06960525","-0,003870648","0,4584505","0,9795654",0,0,0,0,"-45,10952","18,81995","17,48367",,1
27,02:39:30.569,"14,49142","0,1017655","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33183","19,3532","20,77138","20,81149","21,04202","20,43662","133,3089","2,298035","-1,235941","18,7931","0,068791","-0,00348025","0,4584505","0,9796284",0,0,0,0,"-45,10955","18,81995","17,48366",,1
28,02:39:30.589,"14,49142","0,1017517","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33181","19,3523","20,76165","20,81353","21,04074","20,43577","133,3026","2,296898","-1,359535","18,7931","0,06992881","-0,003285052","0,454598","0,9797379",0,0,0,0,"-45,10957","18,81995","17,48366",,1
29,02:39:30.609,"14,49142","0,1017351","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,33181","19,35185","20,75678","20,81455","21,03082","20,43072","133,2994","2,296329","-1,359535","18,7931","0,06895278","-0,004732379","0,4507455","0,9798779",0,0,0,0,"-45,10495","18,81995","17,48365",,1
30,02:39:30.629,"14,49142","0,1017172","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,3318","19,35163","20,76363","20,81043","21,02586","20,43744","133,3071","2,296045","-1,359535","18,7931","0,06846477","-0,005456042","0,4468929","0,9799917",0,0,0,0,"-45,10264","18,81995","17,48365",,1
31,02:39:30.649,"14,49142","0,1017082","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,3318","19,3492","20,76241","20,80836","21,03266","20,44081","133,3109","2,295903","-1,359535","18,7931","0,06976569","-0,002728021","0,4507455","0,9800704",0,0,0,0,"-45,10149","18,81995","17,48365",,1
32,02:39:30.669,"14,49142","0,1017134","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,42397","19,34798","20,7618","20,8027","21,03142","20,44249","133,3129","2,297377","-1,359535","18,7931","0,07196108","-0,001364011","0,4507455","0,9801197",0,0,0,0,"-45,10091","18,81995","17,48365",,1
33,02:39:30.689,"14,49142","0,1017159","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,47005","19,34738","20,7615","20,79987","21,0308","20,44333","133,3138","2,298114","-1,359535","18,7931","0,07305878","-0,000682005","0,4507455","0,9801038",0,0,0,0,"-45,10062","18,81995","17,48365",,1
34,02:39:30.709,"14,49142","0,1017172","19,3","17,80264","18,10783","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49309","19,34707","20,75671","20,79382","21,03049","20,44375","133,305","2,296937","-1,359535","18,7931","0,07360762","-0,003430855","0,4468929","0,9800756",0,0,0,0,"-45,10048","18,81995","17,48365",,1
35,02:39:30.729,"14,49142","0,1017179","19,3","17,80264","18,05697","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,50461","19,34692","20,75431","20,79079","21,03033","20,44396","133,3099","2,296349","-1,359535","18,7931","0,07233712","-0,004805281","0,4468929","0,9800513",0,0,0,0,"-45,10041","18,81995","17,48365",,1
36,02:39:30.749,"14,49142","0,1017182","19,3","17,80264","18,03154","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51037","19,34916","20,75311","20,79391","21,03953","20,44407","133,3123","2,2976","-1,359535","18,81466","0,07324679","-0,005492494","0,4507455","0,9800797",0,0,0,0,"-45,10037","18,81995","17,48259",,1
37,02:39:30.769,"14,49142","0,101728","19,3","17,80264","18,01882","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51325","19,35028","20,75251","20,79548","21,04413","20,44875","133,3136","2,29977","-1,483129","18,82543","0,07370164","-0,005836099","0,4507455","0,9800676",0,0,0,0,"-45,10035","18,81995","17,48125",,1
38,02:39:30.789,"14,49142","0,1017426","19,3","17,80264","18,01246","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51469","19,34853","20,75222","20,79626","21,03715","20,45108","133,3049","2,300855","-1,483129","18,83082","0,07238413","-0,007552829","0,4507455","0,9800019",0,0,0,0,"-45,09678","18,81995","17,48",,1
39,02:39:30.809,"14,49142","0,1017595","19,3","17,80264","18,00928","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51541","19,34765","20,75207","20,80591","21,03366","20,45226","133,3006","2,298308","-1,235941","18,83351","0,07172537","-0,008411194","0,4430404","0,9798473",0,0,0,0,"-45,09499","18,81995","17,47892",,1
40,02:39:30.829,"14,49142","0,101768","19,3","17,80264","18,00769","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51577","19,34721","20,75199","20,79684","21,03192","20,44359","133,3077","2,298579","-1,235941","18,83486","0,07139599","-0,005750523","0,4468929","0,9798001",0,0,0,0,"-45,09409","18,81995","17,47805",,1
41,02:39:30.849,"14,49142","0,1017722","19,3","17,80264","18,0069","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51595","19,34699","20,74732","20,7923","21,03105","20,43925","133,3112","2,298715","-1,235941","18,83553","0,07123131","-0,005965115","0,4430404","0,9797916",0,0,0,0,"-45,09364","18,81995","17,47736",,1
42,02:39:30.869,"14,49142","0,1017743","19,3","17,80264","18,0065","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51604","19,3492","20,74498","20,80394","21,03989","20,44171","133,313","2,298783","-1,359535","18,83587","0,06805911","-0,00607241","0,4430404","0,9797949",0,0,0,0,"-45,09342","18,81995","17,47682",,1
43,02:39:30.889,"14,49142","0,1017657","19,3","17,80264","18,0063","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51608","19,3503","20,73454","20,80049","21,04431","20,44757","133,3046","2,297272","-1,359535","18,83604","0,06647301","-0,006126058","0,4507455","0,9798468",0,0,0,0,"-45,09331","18,81995","17,47641",,1
44,02:39:30.909,"14,49142","0,1017518","19,3","17,80264","18,0062","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51611","19,35085","20,72931","20,79876","21,04652","20,4505","133,3004","2,296516","-1,359535","18,83612","0,06567996","-0,006152882","0,4507455","0,9799443",0,0,0,0,"-45,09325","18,81995","17,47611",,1
45,02:39:30.929,"14,49142","0,1017352","19,3","17,80264","18,00615","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51612","19,34649","20,73134","20,7979","21,04298","20,45196","133,2983","2,296138","-1,359535","18,83616","0,06682836","-0,004621367","0,4584505","0,9800755",0,0,0,0,"-45,09322","18,81995","17,47587",,1
46,02:39:30.949,"14,49142","0,1017172","19,3","17,80264","18,00613","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51612","19,34431","20,73235","20,8021","21,03194","20,44807","133,2973","2,297494","-1,359535","18,83619","0,06894749","-0,00385561","0,4468929","0,9802287",0,0,0,0,"-45,09321","18,81995","17,47569",,1
47,02:39:30.969,"14,49142","0,1017179","19,3","17,80264","18,00611","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51613","19,34323","20,7375","20,79493","21,02642","20,45074","133,2968","2,296628","-1,359535","18,8362","0,07000706","-0,005017658","0,4507455","0,9803027",0,0,0,0,"-45,09299","18,81995","17,47556",,1
48,02:39:30.989,"14,49142","0,1017278","19,3","17,80264","18,00611","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,51613","19,34268","20,73079","20,79135","21,03294","20,45208","133,2965","2,296194","-1,359535","18,8362","0,06899191","-0,005598682","0,4468929","0,9802918",0,0,0,0,"-45,09289","18,81995","17,47546",,1
49,02:39:31.009,"14,49142","0,1017425","19,3","17,80264","18,00611","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,50461","19,34241","20,72744","20,80346","21,03619","20,4435","133,2964","2,295977","-1,112347","18,8362","0,07002927","-0,005889194","0,4468929","0,9802159",0,0,0,0,"-45,09283","18,81995","17,47538",,1
50,02:39:31.029,"14,49142","0,1017595","19,3","17,80264","18,00611","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49885","19,34227","20,72577","20,80951","21,03782","20,43921","133,2963","2,295869","-1,112347","18,8362","0,07054794","-0,00603445","0,4468929","0,9800962",0,0,0,0,"-45,0928","18,81995","17,47533",,1
51,02:39:31.049,"14,49142","0,101768","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49597","19,33989","20,72493","20,80328","21,02936","20,44169","133,2963","2,29736","-1,359535","18,7931","0,0723522","-0,004562151","0,4468929","0,9799956",0,0,0,0,"-45,09279","18,81995","17,47528",,1
52,02:39:31.069,"14,49142","0,1017625","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49453","19,3387","20,72451","20,80016","21,02513","20,44293","133,2963","2,298105","-1,359535","18,77155","0,07325433","-0,003826002","0,4468929","0,9799713",0,0,0,0,"-45,09278","18,81995","17,47525",,1
53,02:39:31.089,"14,49142","0,1017502","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49381","19,34042","20,72894","20,80786","21,03693","20,44818","133,2963","2,298478","-1,359535","18,76078","0,07216047","-0,006547781","0,4507455","0,9800187",0,0,0,0,"-45,09278","18,81995","17,47523",,1
54,02:39:31.109,"14,49142","0,1017247","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49345","19,34128","20,73115","20,81172","21,04283","20,4508","133,2963","2,298664","-1,359535","18,75539","0,07161355","-0,00790867","0,4507455","0,9801652",0,0,0,0,"-45,09278","18,81995","17,47521",,1
55,02:39:31.129,"14,48914","0,1016926","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49327","19,33939","20,73226","20,81364","21,03186","20,45211","133,2777","2,298757","-1,359535","18,75269","0,07288501","-0,007044188","0,4507455","0,980393",0,0,0,0,"-45,09824","18,81995","17,4752",,1
56,02:39:31.149,"14,48914","0,1016863","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49318","19,34076","20,73281","20,8007","21,02638","20,44814","133,2684","2,298804","-1,359535","18,75135","0,07352073","-0,006611947","0,4468929","0,9805831",0,0,0,0,"-45,10097","18,81995","17,47519",,1
57,02:39:31.169,"14,48914","0,1016734","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49313","19,34145","20,73773","20,8035","21,02364","20,44616","133,2823","2,298827","-1,359535","18,75067","0,07383861","-0,006395826","0,4507455","0,980763",0,0,0,0,"-45,10233","18,81995","17,47518",,1
58,02:39:31.189,"14,48914","0,101667","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49311","19,33716","20,74946","20,8049","21,013","20,44054","133,2708","2,298839","-1,359535","18,75034","0,07090768","-0,007832693","0,454598","0,9808496",0,0,0,0,"-45,10301","18,81995","17,47518",,1
59,02:39:31.209,"14,48914","0,1016831","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,4931","19,33501","20,75533","20,80097","21,00767","20,44698","133,265","2,2973","-1,359535","18,75017","0,07253207","-0,008551126","0,454598","0,9807982",0,0,0,0,"-45,10336","18,81995","17,47517",,1
60,02:39:31.229,"14,48914","0,1016815","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49309","19,33394","20,77217","20,79437","20,99574","20,4502","133,2713","2,29653","-1,235941","18,75008","0,07334428","-0,007365416","0,4507455","0,9807717",0,0,0,0,"-45,10352","18,81995","17,47517",,1
61,02:39:31.249,"14,48914","0,1016904","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49309","19,33341","20,78059","20,79107","20,98977","20,45644","133,2745","2,296145","-1,235941","18,75004","0,07066052","-0,006772561","0,4507455","0,9807115",0,0,0,0,"-45,10361","18,81995","17,47517",,1
62,02:39:31.269,"14,48914","0,1016851","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49309","19,33545","20,79408","20,78942","20,98678","20,45493","133,2761","2,297498","-1,483129","18,75002","0,06931864","-0,006476133","0,4507455","0,98075",0,0,0,0,"-45,10365","18,81995","17,47516",,1
63,02:39:31.289,"14,48914","0,1016825","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49309","19,33648","20,80083","20,78859","20,98529","20,45418","133,2769","2,298174","-1,483129","18,75001","0,0686477","-0,00632792","0,4507455","0,9808037",0,0,0,0,"-45,10368","18,81995","17,47516",,1
64,02:39:31.309,"14,48914","0,1016909","19,3","17,80264","18,0061","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,49309","19,33699","20,81347","20,79281","20,97991","20,4538","133,2773","2,296968","-1,359535","18,75001","0,06831223","-0,006253812","0,4507455","0,9808011",0,0,0,0,"-45,1018","18,81995","17,47516",,1
65,02:39:31.329,"14,48914","0,1017047","19,3","17,80264","18,05697","17,1","17,2","16,9","16,4","16,2","16,3","17,294","17,59919","19,6","18,81994","18,31129","19,0234","19,32859","14,40092","19,33493","20,83835","20,79492","20,97721","20,43973","133,2775","2,296364","-1,359535","18,75","0,07123435","-0,004671833","0,4468929","0,9806474",0,0,0,0,"-45,10085","18,81995","17,47516",,1
